,Date and time (UTC),Air Temperature (ºC),Market Price (EUR),Total electricity consumption (Wh),Pmpp FranceWatts panel (Wh)
12480,2017-04-01 00:00:00+00:00,10.356333333333334,27.18,8433.166666666666,0.0
12481,2017-04-01 00:30:00+00:00,10.210666666666667,27.18,8480.75,0.0
12482,2017-04-01 01:00:00+00:00,9.927666666666667,26.9,8592.999999999998,0.0
12483,2017-04-01 01:30:00+00:00,9.645,26.9,8601.499999999998,0.0
12484,2017-04-01 02:00:00+00:00,9.403666666666668,27.0,8527.166666666666,0.0
12485,2017-04-01 02:30:00+00:00,9.293,27.0,8792.166666666666,0.0
12486,2017-04-01 03:00:00+00:00,9.230666666666666,27.31,9919.999999999998,0.0
12487,2017-04-01 03:30:00+00:00,9.104999999999999,27.31,8925.25,0.0
12488,2017-04-01 04:00:00+00:00,8.951666666666666,29.87,10336.166666666666,0.0
12489,2017-04-01 04:30:00+00:00,8.694666666666665,29.87,10014.166666666666,0.0
12490,2017-04-01 05:00:00+00:00,8.438333333333334,32.09,11679.416666666666,0.05016666666666666
12491,2017-04-01 05:30:00+00:00,8.295333333333334,32.09,11497.083333333332,1.459833333333333
12492,2017-04-01 06:00:00+00:00,8.283999999999999,34.42,10645.749999999998,4.572416666666666
12493,2017-04-01 06:30:00+00:00,8.431333333333333,34.42,12017.416666666666,8.535916666666667
12494,2017-04-01 07:00:00+00:00,8.744333333333334,35.1,11728.583333333332,13.287833333333333
12495,2017-04-01 07:30:00+00:00,8.999,35.1,10950.75,20.59733333333333
12496,2017-04-01 08:00:00+00:00,9.718666666666666,28.9,11474.416666666666,35.255833333333335
12497,2017-04-01 08:30:00+00:00,10.013333333333334,28.9,11984.75,31.383666666666663
12498,2017-04-01 09:00:00+00:00,10.438666666666666,27.09,11568.75,33.072583333333334
12499,2017-04-01 09:30:00+00:00,10.909666666666666,27.09,12173.666666666666,47.19758333333334
12500,2017-04-01 10:00:00+00:00,11.531999999999998,26.03,10979.416666666666,56.003583333333324
12501,2017-04-01 10:30:00+00:00,12.465333333333332,26.03,11197.666666666666,90.54108333333332
12502,2017-04-01 11:00:00+00:00,12.786333333333333,26.07,11157.083333333332,35.06091666666667
12503,2017-04-01 11:30:00+00:00,13.288333333333334,26.07,11825.916666666666,91.10091666666666
12504,2017-04-01 12:00:00+00:00,13.676,25.29,11274.999999999998,99.13491666666667
12505,2017-04-01 12:30:00+00:00,14.232666666666667,25.29,9729.416666666664,64.69225
12506,2017-04-01 13:00:00+00:00,14.814333333333332,24.81,9971.333333333334,98.29183333333333
12507,2017-04-01 13:30:00+00:00,15.206666666666665,24.81,9153.0,54.62649999999999
12508,2017-04-01 14:00:00+00:00,15.146666666666667,25.65,8619.499999999998,75.50216666666665
12509,2017-04-01 14:30:00+00:00,15.478666666666664,25.65,8669.333333333332,74.52308333333333
12510,2017-04-01 15:00:00+00:00,15.915333333333335,27.99,8496.0,66.59341666666666
12511,2017-04-01 15:30:00+00:00,16.123333333333335,27.99,8140.0,53.74008333333333
12512,2017-04-01 16:00:00+00:00,15.431999999999997,33.66,8401.833333333334,26.653666666666663
12513,2017-04-01 16:30:00+00:00,14.436333333333332,33.66,8848.666666666666,15.990083333333335
